mice_ID,exp_cond,deprivation_duration,birth_date,estrous_stage,state_before,retrieval_before_latency,state_before_comment,1h_food_consumption_before,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment,1h_food_consumption_after,target_before,target_before_latency,target_2_before,litter_size,target,target_after,target_after_latency,target_2_after,exp_time,prev_exp,exp_date
BRAC5081.3d,food_deprivation,344,17/10/20,E,Parental-,,retrieve both but not parental,,Agg+,73,,,,0.8,,,,,maze,,,,1,,14/01/21
BRAC5018.4d,food_deprivation,,18/10/20,P,Parental-,,,0,Agg-,,Parental+,,build a nest around the pups,0.8,,,,,maze,,,,1,,19/01/21
BRAC5048.5d,food_deprivation,,18/10/20,E,Parental-,,,0.2,Agg-,,Parental-,,,0.6,,,,,maze,,,,1,,19/01/21
BRAC5048.5c,food_deprivation,,18/10/20,D,Parental+,,build a nest around the pups,0,Agg-,,Parental+,,build a nest around the pups (a bit late onset),0.4,,,,,maze,,,,1,,19/01/21
BRAC5018.4e,food_deprivation,,18/10/20,D,Parental-,,retrieve one pup but not parental,0.1,Agg-,,Parental+,365,retrieve both pups,0.4,,,,,maze,,,,1,,19/01/21
BRAC5204.2i,food_deprivation,,,M,Parental+,15,retrieve both pups,0.1,Agg-,,Parental+,8,retrieve both pups,0.7,,,,,pup,,,,2,food_deprivation(4),16/01/21
BRAC5266.1g,food_deprivation,,,M,Parental+,139,retrieve both pups,0.1,Agg-,,Parental+,505,retrieve both pups,0.5,,,,,pup,,,,2,food_deprivation(4),16/01/21
BRAC5266.1f,food_deprivation,,,D,Parental+,,build a nest around the pups,0,Agg-,,Parental+,,build a nest around pups,0.2,,,,,pup,,,,2,food_deprivation(4),16/01/21
BRAC5204.2j,food_deprivation,,,P,Parental+,220,retrieve both pups,0.1,Agg-,,Parental+,282,retrieve both pups,0.6,,,,,pup,,,,2,food_deprivation(4),16/01/21
BRAC5195.3c,food_deprivation,,,D,Parental-,,attempt to make a nest but not enough parenting time,0.1,Agg-,,Parental-,,,0.5,,,,,pup,,,,2,food_deprivation(4),17/01/21
BRAC5195.3e,food_deprivation,,,E,Parental-,,attempt to make a nest but not enough parenting time,0.1,Agg-,,Parental+,,build a nest around the pups,0.1,,,,,pup,,,,2,food_deprivation(4),17/01/21
BRAC5195.3d,food_deprivation,,,P,Parental+,168,retrieve both pups,0.2,Agg-,,Parental+,140,retrieve both pups,0.3,,,,,pup,,,,2,food_deprivation(4),17/01/21
BRAC5204.2h,food_deprivation,,,M,Parental+,248,retrieve both pups,0,Agg-,,Parental+,293,retrieve both pups,0.6,,,,,pup,,,,2,food_deprivation(4),17/01/21
BRAC5048.5e,food_deprivation,,,P,Parental+,,build a nest around the pups,0.2,Agg-,,Parental+,136,retrieve both pups,0.3,,,,,pup,,,,2,food_deprivation(4),18/01/21
BRAC5081.3c,food_deprivation,,,M,Parental-,,attempt to make a nest but not enough parenting time,0,Agg-,,Parental+,,build a nest around only one pup,0.2,,,,,pup,,,,2,food_deprivation(4),18/01/21
BRAC5081.3e,food_deprivation,,,P,Parental+,185,retrieve both pups,0.1,Agg+,162,,,,0.5,,,,,pup,,,,2,food_deprivation(4),18/01/21
BRAC5081.3d,food_deprivation,,,D,Parental+,111,retrieve both pups,0.2,Agg+,65,,,,0.5,,,,,pup,,,,2,food_deprivation(4),18/01/21
